wavelength(nm), xbar, ybar, zbar
6.550000000000000000e+02,2.187000000000000055e-01,8.160000000000000586e-02,0.000000000000000000e+00
6.600000000000000000e+02,1.648999999999999910e-01,6.099999999999999867e-02,0.000000000000000000e+00
6.650000000000000000e+02,1.212000000000000022e-01,4.458000000000000157e-02,0.000000000000000000e+00
6.700000000000000000e+02,8.740000000000000546e-02,3.200000000000000067e-02,0.000000000000000000e+00
6.750000000000000000e+02,6.360000000000000375e-02,2.319999999999999840e-02,0.000000000000000000e+00
6.800000000000000000e+02,4.676999999999999907e-02,1.700000000000000122e-02,0.000000000000000000e+00
6.850000000000000000e+02,3.289999999999999869e-02,1.192000000000000004e-02,0.000000000000000000e+00
6.900000000000000000e+02,2.270000000000000143e-02,8.210000000000000284e-03,0.000000000000000000e+00
6.950000000000000000e+02,1.583999999999999991e-02,5.722999999999999789e-03,0.000000000000000000e+00
7.000000000000000000e+02,1.135916000000000009e-02,4.101999999999999744e-03,0.000000000000000000e+00
7.050000000000000000e+02,8.110915999999999265e-03,2.929000000000000180e-03,0.000000000000000000e+00
7.100000000000000000e+02,5.790346000000000035e-03,2.090999999999999977e-03,0.000000000000000000e+00
7.150000000000000000e+02,4.109457000000000387e-03,1.484000000000000076e-03,0.000000000000000000e+00
7.200000000000000000e+02,2.899327000000000154e-03,1.046999999999999971e-03,0.000000000000000000e+00
7.250000000000000000e+02,2.049190000000000213e-03,7.399999999999999894e-04,0.000000000000000000e+00
7.300000000000000000e+02,1.439970999999999959e-03,5.199999999999999544e-04,0.000000000000000000e+00
7.350000000000000000e+02,9.999493000000000791e-04,3.610999999999999952e-04,0.000000000000000000e+00
7.400000000000000000e+02,6.900785999999999899e-04,2.491999999999999858e-04,0.000000000000000000e+00
7.450000000000000000e+02,4.760213000000000226e-04,1.719000000000000042e-04,0.000000000000000000e+00
7.500000000000000000e+02,3.323010999999999955e-04,1.200000000000000030e-04,0.000000000000000000e+00
7.550000000000000000e+02,2.348260999999999979e-04,8.480000000000000124e-05,0.000000000000000000e+00
7.600000000000000000e+02,1.661505000000000078e-04,6.000000000000000152e-05,0.000000000000000000e+00
7.650000000000000000e+02,1.174129999999999955e-04,4.240000000000000062e-05,0.000000000000000000e+00
7.700000000000000000e+02,8.307527000000000531e-05,3.000000000000000076e-05,0.000000000000000000e+00
7.750000000000000000e+02,5.870651999999999913e-05,2.120000000000000031e-05,0.000000000000000000e+00
7.800000000000000000e+02,4.150994000000000325e-05,1.499000000000000048e-05,0.000000000000000000e+00
7.850000000000000000e+02,2.935325999999999956e-05,1.060000000000000016e-05,0.000000000000000000e+00
7.900000000000000000e+02,2.067383000000000057e-05,7.465700000000000366e-06,0.000000000000000000e+00
7.950000000000000000e+02,1.455977000000000036e-05,5.257799999999999872e-06,0.000000000000000000e+00
8.000000000000000000e+02,1.025398000000000071e-05,3.702900000000000156e-06,0.000000000000000000e+00
8.050000000000000000e+02,7.221455999999999863e-06,2.607799999999999833e-06,0.000000000000000000e+00
8.100000000000000000e+02,5.085867999999999838e-06,1.836599999999999915e-06,0.000000000000000000e+00
8.150000000000000000e+02,3.581651999999999890e-06,1.293399999999999975e-06,0.000000000000000000e+00
8.200000000000000000e+02,2.522525000000000044e-06,9.109300000000000181e-07,0.000000000000000000e+00
8.250000000000000000e+02,1.776509000000000096e-06,6.415300000000000013e-07,0.000000000000000000e+00
8.300000000000000000e+02,1.251141000000000046e-06,4.518100000000000203e-07,0.000000000000000000e+00
