wavelength(nm), basis_r, basis_g, basis_b
5.800000000000000000e+02,4.993993207518693939e-02,9.500600670064323072e-01,1.007537716445162567e-09
5.850000000000000000e+02,6.957585907827248950e-02,9.304241409393267936e-01,7.328003132678371389e-11
5.900000000000000000e+02,9.025427197798457923e-01,9.745728022410050928e-02,1.783907311616452565e-11
5.950000000000000000e+02,9.126974321919821831e-01,8.730256778362464887e-02,2.844143830639201946e-11
6.000000000000000000e+02,8.884200599450112756e-01,1.115799400858413226e-01,9.003302874602404673e-12
6.050000000000000000e+02,8.991267817203443258e-01,9.963162084681653763e-02,1.241597625048389232e-03
6.100000000000000000e+02,9.018302254089818337e-01,9.816977460020319401e-02,1.933507594974993996e-11
6.150000000000000000e+02,9.013104019319977400e-01,9.868959809420070617e-02,7.165705721552261855e-13
6.200000000000000000e+02,9.132138389232116182e-01,8.678616112990630849e-02,5.398879413900777030e-13
6.250000000000000000e+02,9.078523381380847468e-01,9.214766188360218324e-02,1.309465881946881913e-13
6.300000000000000000e+02,9.151889911485917573e-01,8.481100882801879959e-02,5.249635140490003313e-13
6.350000000000000000e+02,8.980997079824213358e-01,1.019002922852000614e-01,2.909969340687515035e-12
6.400000000000000000e+02,8.727170949644422748e-01,1.272674800865681299e-01,1.542700340404349929e-05
6.450000000000000000e+02,9.126157858618969554e-01,3.222402776089517557e-02,5.516018843614439726e-02
6.500000000000000000e+02,9.116455691608724710e-01,8.835201086061471309e-02,2.419526029462822782e-06
6.550000000000000000e+02,9.103857448916168327e-01,3.299777820587142989e-05,8.958125945945012714e-02
6.600000000000000000e+02,8.359702075606382232e-01,3.086956153940174132e-05,1.639989230664024022e-01
6.650000000000000000e+02,9.118066475058884679e-01,1.168600086301652594e-09,8.819335221972805783e-02
6.700000000000000000e+02,9.127422372449005561e-01,5.174058059666955847e-10,8.725776092155250463e-02
6.750000000000000000e+02,8.554146291807723790e-01,1.107971592226813533e-10,1.445853714726200168e-01
6.800000000000000000e+02,8.218110934760277653e-01,8.193305366349404317e-02,9.625585744734795057e-02
6.850000000000000000e+02,9.145218133313699482e-01,1.823349970350945629e-09,8.547818029517721683e-02
6.900000000000000000e+02,8.764943247445170504e-01,5.642641880265171570e-05,1.234492515275089075e-01
6.950000000000000000e+02,8.762726910149525317e-01,2.182882050382046709e-05,1.237054795819390041e-01
7.000000000000000000e+02,9.059221141750142259e-01,4.297873220566035503e-05,9.403490945513634514e-02
7.050000000000000000e+02,8.347492938341404267e-01,1.023185796727671972e-08,1.652506928093769867e-01
